Product Name,SIZE,COLOUR,Brand,Category,Details ,SELLING PRICE INCLUDING GST ( Y / N ),Discount ,title
K-23-705 - Chique,"36 - 1
37 - 2
38 - 2
39 - 0
40 - 2
41 - 1",Chique,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA 
Colour - Chique
Sole - TPR",3435,,Women's chique  Low Top Flat Leather 
K-23-705 - Brown,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Brown,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA 
Colour - Brown
Sole - TPR",3435,,Women's Brown Low Top Flat Leather 
K-23-282 - Brownx,"36 - 0
37 - 2
38 - 2
39 - 2
40 - 3
41 - 1",Brownx,TAGS,TV,"Upper Material - Leather 
Heel Type - Block
Heel Height - 1.5 
Colour - Brownx
Sole - TPR",3325,,Women's Brown Strappy  Leather Wedge
K-23-282 - N Blue,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 1
41 - 1",N Blue,TAGS,TV,"Upper Material - Leather 
Heel Type - Block
Heel Height - 1.5 
Colour - N Blue
Sole - TPR",3325,,Women's Blue Strappy  Leather Wedge
K-23-282 - Rust,"36 - 0
37 - 2
38 - 1
39 - 2
40 - 3
41 - 1",Rust,TAGS,TV,"Upper Material - Leather 
Heel Type - Block
Heel Height - 1.5 
Colour - Rust
Sole - TPR",3325,,Women's Rust Strappy  Leather Wedge
K-23-799 - N Blue,"36 - 1
37 - 2
38 - 2
39 - 1
40 - 2
41 - 1",N Blue,TAGS,TV,"Upper Material - Leather 
Heel Type - Wedges
Heel Height - 1.5 
Colour - N Blue
Sole - TPR",3575,,Women Blue Wedges Formal 
K-23-799 - Rust,"36 - 1
37 - 2
38 - 2
39 - 1
40 - 2
41 - 1",Rust,TAGS,TV,"Upper Material - Leather 
Heel Type - Wedges
Heel Height - 1.5 
Colour - Rust
Sole - TPR",3575,,Women Rust Wedges Formal 
K-23-799 -  O Green,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",O Green,TAGS,TV,"Upper Material - Leather 
Heel Type - Wedges
Heel Height - 1.5 
Colour - O Green
Sole - TPR",3575,,Women Green Wedges Formal 
K-23-558 - N Blue,"36 - 1
37 - 1
38 - 2
39 - 2
40 - 2
41 - 1",N Blue,TAGS,TV,"Upper Material - Leather 
Heel Type - Wedges
Heel Height - 1.5 
Colour - N Blue
Sole - TPR",3515,,Women Blue Wedges Sandal
K-23-558 - Beige,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Beige,TAGS,TV,"Upper Material - Leather 
Heel Type - Wedges
Heel Height - 1.5 
Colour - Beige
Sole - TPR",3515,,Women Beige Wedges Sandal
K-23-558 - Rust,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Rust,TAGS,TV,"Upper Material - Leather 
Heel Type - Wedges
Heel Height - 1.5 
Colour - Rust
Sole - TPR",3515,,Women Rust Wedges Sandal
K-23-543 - Rust,"36 - 1
37 - 1
38 - 1
39 - 2
40 - 1
41 - 1",Rust,TAGS,TV,"Upper Material - Leather 
Heel Type - Block
Heel Height - 2 
Colour - Rust 
Sole - TPR",3465,,Women Rust Bellies Sandal
K-23-543 - Chique,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Chique,TAGS,TV,"Upper Material - Leather 
Heel Type - Block
Heel Height - 2 
Colour - Chique
Sole - TPR",3465,,Women Chique Bellies Sandal
K-23-543 - Maroon,"36 - 1
37 - 2
38 - 1
39 - 2
40 - 2
41 - 1",Maroon,TAGS,TV,"Upper Material - Leather 
Heel Type - Block
Heel Height - 2 
Colour - Maroon
Sole - TPR",3465,,Women Maroon Bellies Sandal
K-23-245 - Maroon,"36 - 1
37 - 2
38 - 2
39 - 1
40 - 2
41 - 1",Maroon,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA 
Colour - Maroon
Sole - TPR",2875,,Women Maroon Patterned Leather Flats 
K-23-245 - Beige,"36 - 1
37 - 2
38 - 2
39 - 1
40 - 1
41 - 1",Beige,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA 
Colour - Beige
Sole - TPR",2875,,Women Beige Patterned Leather Flats 
K-23-245 - Yellow,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Yellow,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA 
Colour - Yellow
Sole - TPR",2875,,Women Yellow Patterned Leather Flats 
K-23-832-N.Blue,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",N.Blue,TAGS,TV,"Upper Material - Leather 
Heel Type -Flat
Heel Height -  NA
Colour - N.Blue
Sole - TPR",3435,,
K-23-832-Browon,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Browon,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height -  NA
Colour - Browon
Sole - TPR",3435,,
K-23-832-Chikoo,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Chikoo,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height -  NA
Colour - Chikoo
Sole - TPR",3435,,
K-18-173-Maroon,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Maroon,TAGS,TV,"Upper Material - Leather 
Heel Type - Wedges
Heel Height - 2
Colour - Maroon
Sole - TPR",3405,,
K-18-173-Black,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Black,TAGS,TV,"Upper Material - Leather 
Heel Type - Wedges
Heel Height - 2
Colour - Black
Sole - TPR",3405,,
K-18-173-Begie,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Begie,TAGS,TV,"Upper Material - Leather 
Heel Type - Wedges
Heel Height - 2
Colour - Begie
Sole - TPR",3405,,
K-21-495 - N.Blue / B/TT,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",N.Blue / B/TT,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA
Colour - N.Blue / B/TT
Sole - TPR",3045,,
K-21-495 - O Green /B.TT,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",O Green/ B. TT,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA
Colour - O Green/ B. TT
Sole - TPR",3045,,
K-21-495 - NT/B.TT,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",NT/B.TT,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA
Colour - NT/B.TT
Sole - TPR",3045,,
K-17-425 -Beige ,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Beige,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA
Colour - Beige
Sole - TPR",3235,,
K-17-425 -Maroon ,"36 - 1
37 - 2
38 - 1
39 - 2
40 - 2
41 - 1",Maroon,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA
Colour - Maroon
Sole - TPR",3235,,
K-17-425 - Chique,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Chique,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA
Colour - Chique
Sole - TPR",3235,,
K-22-627 - Maroon ,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Maroon,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA
Colour - Maroon
Sole - TPR",3265,,
K-22-627 - Brownz ,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Brownz,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA
Colour - Brownz
Sole - TPR",3265,,
K-22-627 - Rust,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Rust,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA
Colour - Rust
Sole - TPR",3265,,
K-23-308 - N.Blue,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",N.Blue,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA
Colour - N.Blue
Sole - TPR",3265,,
